rung,metric,dim,mean,std
illegal_activities,sample_asr_median,3,0.9792,0.0074
illegal_activities,sample_asr_median,4,0.9622,0.0212
illegal_activities,sample_asr_median,5,0.6562,0.2017
illegal_activities,sample_asr_p25,1,0.9688,0.011
illegal_activities,sample_asr_p25,2,0.9785,0.0028
illegal_activities,sample_asr_p25,3,0.9583,0.0205
illegal_activities,sample_asr_p25,4,0.9141,0.0221
illegal_activities,sample_asr_p25,5,0.3548,0.0956
illegal_activities,sample_asr_p75,1,0.9688,0.011
illegal_activities,sample_asr_p75,2,0.9948,0.0037
illegal_activities,sample_asr_p75,3,0.987,0.0074
illegal_activities,sample_asr_p75,4,0.987,0.0074
illegal_activities,sample_asr_p75,5,0.9453,0.0552
illegal_activities,n_samples,1,192,90.5097
illegal_activities,n_samples,2,192,90.5097
illegal_activities,n_samples,3,192,90.5097
illegal_activities,n_samples,4,192,90.5097
illegal_activities,n_samples,5,192,90.5097
malicious_use,bypass_asr,1,0.9089,0.0295
malicious_use,bypass_asr,2,0.9688,0.0064
malicious_use,bypass_asr,3,0.9922,0.011
malicious_use,bypass_asr,4,0.9896,0.0037
malicious_use,bypass_asr,5,0.9974,0.0037
malicious_use,bypass_asr,6,1.0,0.0
malicious_use,bypass_asr,7,1.0,0.0
malicious_use,bypass_asr,8,0.9974,0.0037
malicious_use,retain_mean,1,-10.5196,0.1324
malicious_use,retain_mean,2,-10.3078,0.0824
malicious_use,retain_mean,3,-10.5321,0.2036
malicious_use,retain_mean,4,-10.4159,0.3162
malicious_use,retain_mean,5,-11.0378,0.2552
malicious_use,retain_mean,6,-10.8053,0.2007
malicious_use,retain_mean,7,-10.594,0.0658
malicious_use,retain_mean,8,-10.0473,1.6011
malicious_use,induce_marginal,1,4.368,0.1285
malicious_use,induce_marginal,2,4.8997,0.3126
malicious_use,induce_marginal,3,3.4626,0.989
malicious_use,induce_marginal,4,3.6688,1.7811
malicious_use,induce_marginal,5,3.4631,0.9345
malicious_use,induce_marginal,6,2.7431,1.0907
malicious_use,induce_marginal,7,2.4084,1.0375
malicious_use,induce_marginal,8,-0.3246,2.3717
malicious_use,per_basis_bypass_max,1,-5.7763,0.6174
malicious_use,per_basis_bypass_max,2,-2.4859,0.6176
malicious_use,per_basis_bypass_max,3,0.2562,1.4662
malicious_use,per_basis_bypass_max,4,1.2801,0.7021
malicious_use,per_basis_bypass_max,5,1.1251,0.8095
malicious_use,per_basis_bypass_max,6,1.736,0.3916
malicious_use,per_basis_bypass_max,7,1.7792,0.3041
malicious_use,per_basis_bypass_max,8,1.9487,0.1154
malicious_use,per_basis_induce_min,1,4.368,0.1285
malicious_use,per_basis_induce_min,2,4.1432,0.2369
malicious_use,per_basis_induce_min,3,3.0876,0.7942
malicious_use,per_basis_induce_min,4,2.9649,1.2747
malicious_use,per_basis_induce_min,5,2.6427,0.5114
malicious_use,per_basis_induce_min,6,1.6197,0.2366
malicious_use,per_basis_induce_min,7,2.1436,0.843
malicious_use,per_basis_induce_min,8,-0.8991,1.6976
malicious_use,loo_bypass_min,1,2.2791,0.0
malicious_use,loo_bypass_min,2,-5.9077,0.2568
malicious_use,loo_bypass_min,3,-6.9829,0.7389
malicious_use,loo_bypass_min,4,-7.2044,0.3887
malicious_use,loo_bypass_min,5,-8.0262,0.4933
malicious_use,loo_bypass_min,6,-8.2614,0.3916
malicious_use,loo_bypass_min,7,-8.4848,0.4156
malicious_use,loo_bypass_min,8,-8.6224,0.4859
malicious_use,necessity_min,1,8.0554,0.6174
malicious_use,necessity_min,2,1.3775,0.2721
malicious_use,necessity_min,3,0.3826,0.254
malicious_use,necessity_min,4,0.2197,0.1118
malicious_use,necessity_min,5,0.1604,0.0945
malicious_use,necessity_min,6,0.0966,0.1293
malicious_use,necessity_min,7,-0.0112,0.0782
malicious_use,necessity_min,8,-0.7417,0.904
malicious_use,sample_asr_p05,1,0.9089,0.0295
malicious_use,sample_asr_p05,2,0.7852,0.0238
malicious_use,sample_asr_p05,3,0.6048,0.2022
malicious_use,sample_asr_p05,4,0.4889,0.1517
malicious_use,sample_asr_p05,5,0.4245,0.124
malicious_use,sample_asr_p05,6,0.4173,0.1077
malicious_use,sample_asr_p05,7,0.4648,0.1001
malicious_use,sample_asr_p05,8,0.431,0.2285
malicious_use,sample_asr_mean,1,0.9089,0.0295
malicious_use,sample_asr_mean,2,0.9275,0.0009
malicious_use,sample_asr_mean,3,0.8811,0.0491
malicious_use,sample_asr_mean,4,0.819,0.0509
malicious_use,sample_asr_mean,5,0.7493,0.1197
malicious_use,sample_asr_mean,6,0.754,0.0802
malicious_use,sample_asr_mean,7,0.808,0.0134
malicious_use,sample_asr_mean,8,0.6512,0.2148
malicious_use,sample_asr_median,1,0.9089,0.0295
malicious_use,sample_asr_median,2,0.9479,0.0037
malicious_use,sample_asr_median,3,0.9401,0.0097
malicious_use,sample_asr_median,4,0.8724,0.0313
malicious_use,sample_asr_median,5,0.7917,0.1289
malicious_use,sample_asr_median,6,0.7721,0.1014
malicious_use,sample_asr_median,7,0.8607,0.0066
malicious_use,sample_asr_median,8,0.6354,0.2533
malicious_use,sample_asr_p25,1,0.9089,0.0295
malicious_use,sample_asr_p25,2,0.9193,0.0037
malicious_use,sample_asr_p25,3,0.8385,0.0706
malicious_use,sample_asr_p25,4,0.7467,0.064
malicious_use,sample_asr_p25,5,0.6302,0.1639
malicious_use,sample_asr_p25,6,0.627,0.1453
malicious_use,sample_asr_p25,7,0.7188,0.023
malicious_use,sample_asr_p25,8,0.5365,0.2971
malicious_use,sample_asr_p75,1,0.9089,0.0295
malicious_use,sample_asr_p75,2,0.9635,0.0074
malicious_use,sample_asr_p75,3,0.9694,0.0115
malicious_use,sample_asr_p75,4,0.9323,0.0242
malicious_use,sample_asr_p75,5,0.8809,0.1024
malicious_use,sample_asr_p75,6,0.9089,0.0327
malicious_use,sample_asr_p75,7,0.9427,0.0195
malicious_use,sample_asr_p75,8,0.7689,0.1815
malicious_use,n_samples,1,256,0.0
malicious_use,n_samples,2,256,0.0
malicious_use,n_samples,3,256,0.0
malicious_use,n_samples,4,256,0.0
malicious_use,n_samples,5,256,0.0
malicious_use,n_samples,6,256,0.0
malicious_use,n_samples,7,256,0.0
malicious_use,n_samples,8,256,0.0
